Absolute Magnitude,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Eccentricity,Inclination,Asc Node Longitude,Perihelion Distance,Perihelion Arg,Perihelion Time,Mean Anomaly,Avg_Diameter_KM,Hazardous
-0.231042085,0.866464227,-0.365563145,-1.142620781,-0.01177062,-0.037255931,0.520665811,-0.692535638,0.184974232,-0.64951831,-0.347767603,0.407097898,0.932183282,-0.209410581,0
-0.611577544,0.80686792,-0.734586326,-0.817732186,0.390195965,1.140748473,0.797971051,0.61786314,-1.291576907,-1.607238365,1.459377943,0.263098004,-1.426182367,0.017666148,0
-0.438606881,1.473777976,0.588530605,-0.492843591,-0.887862563,-0.778962408,0.835125422,-0.536948949,-0.945773645,-0.171522869,0.64549572,-0.06166066,-0.259948766,-0.099843975,1
-0.023477289,-0.352996691,-0.157353337,-0.817732186,-0.358640504,0.36833955,0.644593861,-0.236497287,-1.502694331,-1.082396696,-0.55991821,0.083703459,-0.14930134,-0.292525352,0
-0.576983411,0.203581778,-1.00906571,1.131599385,0.138104769,-0.817744446,0.60014373,0.800756683,-0.967791235,0.134883958,-0.807876043,-0.104650698,-0.096424433,-0.008048742,0
0.737593629,0.097959656,0.893647663,-1.142620781,-0.67719396,0.092017529,-1.069068713,-0.714104267,0.423625537,0.769441094,1.349037711,0.109349409,-0.553437353,-0.458861569,0
-1.199677799,0.763167922,0.618329075,-0.492843591,-0.232015664,-1.473807256,1.156790534,1.353762885,-0.745206112,0.471987884,-0.245508491,0.914885158,0.077799774,0.696291208,0
1.221911486,-1.254299897,0.994689212,0.806710789,-0.898376423,-0.231974081,-0.180145778,-1.163171211,0.406455707,0.307331364,-0.621104754,0.368691995,1.228909565,-0.503919393,0
0.702999496,-0.337686838,-1.583983644,1.131599385,-0.665723187,-0.00170573,-0.997335872,0.606293103,0.816224603,0.769521624,-1.404471405,0.400631598,0.972227488,-0.454392832,0
-0.922924738,0.598142762,0.674533435,-1.142620781,-0.754144605,0.122719976,-0.818990353,1.285255762,-0.782985071,0.392297063,-1.213880823,0.091686506,1.563234794,0.311088268,1
1.360288016,-0.828864651,-0.644643614,0.806710789,-0.841432237,0.388538528,-1.456634083,-0.627935946,0.681984242,0.736678097,1.300305278,0.364125866,1.11629654,-0.512291217,0
-0.507795146,0.781146552,0.752814783,-0.817732186,0.342549673,1.123781332,-0.462327561,0.700453853,-0.819084156,-0.717707917,-1.548909606,0.364991217,0.904422162,-0.056058529,0
-0.922924738,0.59813914,0.674526648,-1.142620781,-0.74580595,0.122719976,-0.819171265,1.285361354,-0.783038325,0.392516818,-1.213783779,0.09168227,-0.367977487,0.311088268,1
-0.57144835,0.481394798,0.45897484,0.481822194,2.604552434,0.449135462,0.126977132,1.518574907,1.047396721,-0.75046406,0.175842399,0.482810275,0.128132446,-0.012054339,0
-1.649401523,0.295467681,0.303115162,-1.142620781,-0.206731675,-1.364732774,0.91912521,-0.926167839,0.398283293,0.94336811,-0.829864105,-0.134339542,-0.640570379,1.720895082,0
-0.092665555,-0.067957466,-1.311255367,1.131599385,-0.259051778,0.248761599,-0.403475091,0.607658681,0.929050053,-0.080409877,-1.099459011,0.343307663,1.279172054,-0.267329458,0
0.253275772,-1.321791596,-1.114695643,0.481822194,0.139957681,-0.341856522,-0.835519542,-0.5740419,0.787020247,1.204611379,-1.59420882,0.3814117,1.19751449,-0.373005655,0
-0.265636218,0.406926359,0.35418379,0.156933599,-0.093325302,-1.257274211,0.795780212,-0.816907527,0.636217665,0.872093336,-1.021142154,0.328263056,1.555454549,-0.193185583,0
-1.99534285,-0.117418658,-1.445176028,-1.142620781,-0.428337882,2.020615961,-0.236051242,1.056551334,0.973561274,-1.306706128,-0.263842397,0.398005889,0.213587729,3.051279565,1
-0.715359942,-0.39838934,1.594242487,-1.142620781,-0.61209065,0.403889751,0.437428802,0.448984949,0.722346699,-0.941806878,0.696701509,0.349202006,1.200205879,0.102313402,1
1.67163521,-0.194534888,-0.925954836,-0.817732186,-0.899760957,1.568158851,0.032579435,-0.760323221,-0.058129575,-1.261600727,1.31267086,0.305779821,1.466281399,-0.526335283,0
1.706229342,-0.198051054,0.800468455,1.131599385,-0.867840377,1.073687866,-0.124401007,-1.177736787,1.465493818,-0.90261029,0.776155745,0.364278388,0.932067249,-0.527566074,0
-0.241074384,-0.155706833,0.412536276,0.481822194,0.407750446,-0.456586717,-0.486220897,-0.601052101,-1.123223655,1.005352652,0.728248152,0.250978855,-1.508313241,-0.204782005,0
-1.234271932,1.425124936,1.351356355,-1.142620781,-0.889899104,-0.809664855,0.607220517,-0.506145121,1.498514077,0.196052294,0.474614912,0.202879328,-1.349498432,0.755200617,1
-0.576983411,-0.688060359,-0.812668947,-1.142620781,-0.518289919,1.129437046,0.163645639,-0.746712391,0.320389818,-1.140855676,0.262777136,-1.435489383,1.387387791,-0.008048742,1
-1.441836727,0.222672471,0.894442939,-1.142620781,1.789293577,-1.034277492,0.057282983,0.587803912,-0.789088333,1.423177299,0.501329888,-0.103799117,-0.395975837,1.171761237,0
-0.95751887,2.418520179,1.071033726,-1.142620781,-0.822787828,-1.181326053,0.858674831,2.29784487,-0.458651488,0.183092132,0.519641246,0.546494591,0.779347735,0.351843621,1
-1.234271932,2.497186587,-0.128004594,-1.142620781,1.557087121,0.188164665,2.262374272,2.760598524,1.009984898,-2.440336343,-0.230205368,0.266308382,-1.510425086,0.755200617,0
-1.234271932,2.497186607,-0.128004778,-1.142620781,1.557087121,0.188164665,2.262374322,2.760598575,1.009984891,-2.440336381,-0.230205379,0.266308382,-1.510425081,0.755200617,0
-0.749954075,0.623482893,0.441287461,-1.142620781,0.648573548,-0.38952611,-0.747528667,2.181078758,-0.639388698,0.917747806,0.580965806,-0.073363551,1.332428649,0.133229499,0
-0.749954075,2.352811212,1.529607941,-0.817732186,-0.823189089,-0.919547296,1.245637468,-1.138804824,1.406425364,-0.547507063,0.432798764,0.519419807,0.788158619,0.133229499,1
-0.715359942,0.623482066,0.441298649,-1.142620781,0.651530675,-0.38952611,-0.747802837,2.180961793,-0.639441544,0.918186147,0.5809422,0.55139754,0.254525858,0.102313402,0
-0.888330605,1.697243771,0.789752583,-0.817732186,1.307182205,-1.20233299,0.298446219,2.50406088,1.202344531,1.053262593,-1.230619896,-0.154830457,-0.214827587,0.272167207,0
-1.926154584,0.866785912,1.029753453,-1.142620781,1.926506482,-1.316255227,1.800432994,0.235703906,-0.035125765,-0.922986161,-0.162621237,0.610364265,0.690643058,2.734082048,0
-1.511024993,0.188058833,1.279444921,-1.142620781,-0.411802337,0.09120957,-0.579136058,1.531651091,1.165134339,0.187545727,-0.96353182,0.35978746,1.188127739,1.33822886,1
0.4954347,-0.567719314,0.479630383,0.806710789,-0.077990329,1.105198272,-0.885977049,-0.026611515,1.816264139,-0.388843174,1.416715484,0.321409096,1.343778313,-0.422793478,0
-0.680765809,0.197911845,1.541857692,-0.492843591,-0.414019629,2.062629835,-0.617963312,0.532579314,1.806034322,-1.095382189,1.579971486,0.33305691,1.072546767,0.072788758,1
-0.542389279,0.099897498,0.282489149,-1.142620781,0.672219489,-0.117243885,-0.737860214,0.146470821,-0.511746701,0.701866254,0.806229644,0.518656137,0.334966609,-0.032606271,0
-1.649401523,0.998984575,0.332458036,-1.142620781,-0.693349619,-1.373620325,1.066324797,0.253222612,-0.53588086,0.56867119,-0.430952639,0.767944977,0.423619225,1.720895082,1
-0.680765809,0.806015528,1.555755219,-1.142620781,0.441563586,-0.374174887,-0.697034695,2.193572747,-0.515131835,0.838594279,1.178298643,0.527096751,0.372208063,0.072788758,0
0.633811231,-0.611719613,-1.493145375,0.806710789,-0.874554606,1.568158851,0.137177347,-1.047967498,0.686526086,-1.327841015,0.28697533,0.327323563,1.219482564,-0.444813621,0
-0.092665555,0.286632995,1.600281158,-0.817732186,-0.759007805,1.12539725,0.732139885,-0.417787751,0.377264068,-1.543588945,-1.345851737,0.401055271,0.534203106,-0.267329458,1
1.913794138,0.893204351,1.304016136,0.806710789,-0.886263278,-0.055031032,-0.474725947,-0.889331358,0.0539048,0.381515131,-1.249848238,0.335174212,1.387427534,-0.533870975,0
1.221911486,0.762997531,0.747711699,0.806710789,-0.866001532,-0.12128368,-0.378773849,1.318819385,1.57065934,0.258007856,0.53645999,0.089839295,-0.493804094,-0.503919393,0
-0.611577544,-0.105472271,1.305591098,-0.817732186,0.801701778,0.831300128,0.875427825,-0.196583157,-0.424860847,-1.522233328,1.686774394,0.384765067,0.789303478,0.017666148,0
-0.438606881,1.425687051,1.192294846,-0.492843591,0.906485965,0.561441781,1.161120262,0.833493387,-1.038221223,-1.638009462,-1.509352748,0.204264737,-0.979584071,-0.099843975,0
-0.611577544,0.038002637,-0.386542044,-0.492843591,-0.202595019,1.371824783,-0.746441459,0.063994943,1.273047112,-0.659502873,0.55374362,0.131813579,-0.011570003,0.017666148,0
1.464070414,0.209284106,0.231608886,1.131599385,-0.689252835,0.824028496,-1.042554181,-0.040324319,-0.62798424,-0.056257851,-0.753894488,0.108513715,-0.11031368,-0.517632098,0
-1.061301268,0.811024141,-0.222354708,-0.492843591,1.084899292,-1.083562999,1.407290234,-0.116864845,0.684167216,-0.585246108,-0.176895344,0.552620894,0.753486155,0.486000478,0
-1.372648462,-1.4177934,-0.065310002,-1.142620781,0.422004462,-0.392757946,-0.592624268,-0.531745607,-0.481281934,1.013635519,0.635806731,0.027165437,-0.405057621,1.019940961,0
-1.199677799,-0.452606029,1.478204036,-1.142620781,1.702750543,-0.264292446,-1.098667072,0.716690131,-0.339994137,1.26868934,-0.799436158,0.341991101,1.37614979,0.696291208,0
0.841376027,0.778540257,1.473637799,-0.167954996,-0.595334705,0.653549121,-0.994976159,-0.836905249,-0.250929261,0.072394189,1.091801787,0.479626376,0.109613751,-0.471096819,0
0.737593629,0.254716804,0.530345942,0.806710789,-0.811117809,1.712783534,-0.112112627,0.144733694,0.328972301,-1.241068216,1.391411521,0.322659989,1.254037324,-0.458861569,0
-0.369418616,-0.154158082,1.124701858,-0.817732186,0.616731826,0.053235491,-1.16291613,1.134898808,-0.144607759,0.811895818,-1.039289935,0.495078768,0.337929755,-0.139776776,0
-1.026707136,0.962106733,1.536432352,-0.817732186,-0.622230162,-0.091389193,-0.760538849,1.963220346,-0.215083429,0.536670151,1.21086081,-0.008576626,0.87954469,0.439207072,1
-1.407242595,-0.045251634,-0.555387323,0.156933599,1.116165094,-1.718618871,1.130970287,0.84666127,1.646771906,1.520208081,-1.641317029,1.095065615,0.218390253,1.094103512,0
0.945158425,-1.717722835,-0.993300493,0.156933599,-0.414985402,0.27542425,-1.51949399,-1.013218886,-1.593201244,0.941340996,-1.590821099,0.150409619,-0.738114607,-0.481753277,0
-1.026707136,0.962096714,1.536411442,-1.142620781,-0.59323592,-0.091389193,-0.760353475,1.963133177,-0.215125018,0.536239891,1.210822475,0.532004995,0.155172592,0.439207072,1
0.253275772,-0.242904364,0.597394012,0.806710789,0.081526181,-0.400837538,-0.394812489,-0.01492933,0.955278595,0.772621273,-0.541490337,-0.046434933,-0.029273305,-0.373005655,0
-0.81914234,1.076838456,1.251439858,-0.492843591,-0.132275205,-1.075483407,1.706244703,-0.79966607,-0.179384881,-1.045431148,0.198775253,0.269860875,-1.619133834,0.199501453,0
-0.95751887,0.212394967,1.170234731,-1.142620781,1.628213223,0.22937058,0.951429321,1.014448056,0.184915478,-1.293704702,-1.492611233,0.421093916,0.698284035,0.351843621,0
0.875970159,-1.124261433,1.009295446,0.481822194,-0.492313718,-0.042103686,-1.073282552,-1.133712648,-1.228774797,0.971346181,0.064993497,0.149382214,-0.865961394,-0.474813751,0
1.530491149,-1.094984991,-0.384006734,-0.167954996,-0.896350847,0.77474299,-0.656868915,-1.05734857,0.132782676,-0.298238666,-0.807801982,0.193682459,-0.87321445,-0.520682723,0
-0.369418616,2.611322364,1.179936149,-1.142620781,-0.420185294,-1.680644792,1.997237433,-0.404760123,1.665647149,-0.667939227,-0.634505824,-0.361157857,-0.292057203,-0.139776776,1
-0.507795146,-0.23829861,-0.029712764,0.481822194,1.467542659,-0.922779133,0.085666779,0.875876315,1.665020371,1.061058647,-1.15442092,0.111556742,-1.039185452,-0.056058529,0
1.009849453,0.835048049,0.47971622,0.806710789,-0.645781962,1.429189881,-0.313335202,0.484603457,0.092479183,-0.985197048,1.349432843,0.408896388,0.340996743,-0.487688295,0
-0.922924738,1.43513228,1.234706407,-1.142620781,1.578684116,1.252246833,0.221069965,1.724093948,-1.378601097,-1.283945344,0.033430572,0.212387596,-0.873733044,0.311088268,0
1.083534955,-0.794349618,-0.910640081,0.806710789,-0.871666146,0.961381548,0.079071816,-1.085415031,-1.572708068,-0.985954688,-0.545324008,0.160052403,-0.489887835,-0.493854246,0
-0.646171677,0.003877275,0.11484082,-0.817732186,-0.345578199,1.153675819,0.732818778,0.705961952,-1.54161365,-1.568679454,0.335134789,0.211212964,-0.893596235,0.044592943,0
-1.095895401,0.206625426,-0.328624704,-0.817732186,-0.837240758,-1.439065014,1.82559214,-0.00641584,1.77524011,-0.770633732,-0.943957746,0.563323918,0.922668054,0.53499919,1
0.184087507,-0.495983183,-1.055280923,0.806710789,-0.662695177,0.199476092,-0.620396379,-0.667703927,-1.566592702,0.211575464,-0.991406852,0.361892053,1.171504102,-0.355574353,0
0.772187761,-0.951084614,-0.959838727,0.806710789,-0.632892432,1.296684585,-0.735193332,-0.235310168,-1.623321161,-0.616259159,0.310683529,0.390236796,0.606952825,-0.463129178,0
0.737593629,-1.292811597,1.134888952,1.45648798,-0.637435554,-0.412956925,0.089688826,-0.976214223,-1.546361475,0.254116833,-0.87188748,-8.079211742,-1.350157749,-0.458861569,0
1.498664547,1.334128804,1.435288825,1.131599385,-0.64283591,1.973754332,-0.196035153,1.043115175,-1.450368106,-1.311166358,0.014348639,0.193491807,-0.443551827,-0.519254597,0
-1.165083666,2.845126298,0.844260927,-1.142620781,-0.028899806,-1.15627932,1.688497598,1.330609026,-1.368099026,-1.015323968,-0.768590465,0.382688013,1.330233307,0.640033159,0
0.011116843,-0.135837094,-0.572946772,-0.167954996,-0.624734306,0.255225272,-0.680821124,-0.762574681,-1.387732538,0.207218153,0.847157841,0.045337805,-0.014557694,-0.304279325,0
-0.95751887,-0.881584189,1.529405821,-1.142620781,0.273904456,0.03546039,-0.613148939,0.07968173,-0.714942468,0.37638391,-0.137234246,0.251615423,-1.454763619,0.351843621,0
-1.407242595,0.573606874,-0.057515707,-1.142620781,-0.887204021,0.498420969,-1.042124239,1.04773065,-1.288170293,0.197852795,-1.021452681,0.447896491,0.415851124,1.094103512,1
0.772187761,-0.368051665,0.038274928,0.806710789,-0.627487646,0.853922984,-1.802593847,-0.159263302,1.797616451,0.491973598,1.185812548,0.138383678,-0.364387263,-0.463129178,0
-0.058071422,1.337191468,0.642040636,-0.817732186,0.145263896,1.207001122,-0.763483504,2.006543435,0.222662709,-0.608303772,0.038868756,0.161923976,-0.362697379,-0.280217432,0
1.048940822,-0.318781951,0.301177227,0.806710789,-0.227152464,1.169835002,-1.259003482,-0.025847049,0.778352723,-0.173767424,1.547404672,0.149786821,-0.30939731,-0.491034664,0
-1.372648462,-0.318645459,1.453503515,-0.817732186,-0.763371506,0.776358908,0.476645743,-0.316140521,-0.190861608,-1.187923196,-1.245231561,0.376805322,0.887188405,1.019940961,1
0.149493374,-0.496070824,-0.324508745,0.806710789,-0.07165964,1.225584182,-0.030304155,0.10885946,0.572131811,-1.063843008,1.38265234,0.449273426,0.012958868,-0.346237842,0
